id,pincode,city_id,created_by,updated_by,created_at,updated_at,country_master
163,123103,558,seed_data,seed_data,1696090682246200,1696090682246200,018b05dd-2983-7809-a2d1-95b3f1776eb3
164,123106,558,seed_data,seed_data,1696090682246234,1696090682246234,018b05dd-2983-7809-a2d1-95b3f1776eb3
165,123110,558,seed_data,seed_data,1696090682246285,1696090682246285,018b05dd-2983-7809-a2d1-95b3f1776eb3
166,123301,558,seed_data,seed_data,1696090682246353,1696090682246353,018b05dd-2983-7809-a2d1-95b3f1776eb3
167,123302,558,seed_data,seed_data,1696090682246389,1696090682246389,018b05dd-2983-7809-a2d1-95b3f1776eb3
168,123303,558,seed_data,seed_data,1696090682246424,1696090682246424,018b05dd-2983-7809-a2d1-95b3f1776eb3
169,123401,558,seed_data,seed_data,1696090682246458,1696090682246458,018b05dd-2983-7809-a2d1-95b3f1776eb3
170,123411,558,seed_data,seed_data,1696090682246495,1696090682246495,018b05dd-2983-7809-a2d1-95b3f1776eb3
171,123412,558,seed_data,seed_data,1696090682246530,1696090682246530,018b05dd-2983-7809-a2d1-95b3f1776eb3
172,123501,558,seed_data,seed_data,1696090682246564,1696090682246564,018b05dd-2983-7809-a2d1-95b3f1776eb3
173,124001,560,seed_data,seed_data,1696090682246598,1696090682246598,018b05dd-2983-7809-a2d1-95b3f1776eb3
174,124010,560,seed_data,seed_data,1696090682246632,1696090682246632,018b05dd-2983-7809-a2d1-95b3f1776eb3
175,124021,560,seed_data,seed_data,1696090682246670,1696090682246670,018b05dd-2983-7809-a2d1-95b3f1776eb3
176,124022,560,seed_data,seed_data,1696090682246722,1696090682246722,018b05dd-2983-7809-a2d1-95b3f1776eb3
177,124102,284,seed_data,seed_data,1696090682246757,1696090682246757,018b05dd-2983-7809-a2d1-95b3f1776eb3
178,124103,284,seed_data,seed_data,1696090682246778,1696090682246778,018b05dd-2983-7809-a2d1-95b3f1776eb3
179,124104,284,seed_data,seed_data,1696090682246797,1696090682246797,018b05dd-2983-7809-a2d1-95b3f1776eb3
180,124105,284,seed_data,seed_data,1696090682246815,1696090682246815,018b05dd-2983-7809-a2d1-95b3f1776eb3
181,124106,284,seed_data,seed_data,1696090682246834,1696090682246834,018b05dd-2983-7809-a2d1-95b3f1776eb3
182,124107,284,seed_data,seed_data,1696090682246852,1696090682246852,018b05dd-2983-7809-a2d1-95b3f1776eb3
183,124108,284,seed_data,seed_data,1696090682246871,1696090682246871,018b05dd-2983-7809-a2d1-95b3f1776eb3
184,124109,284,seed_data,seed_data,1696090682246890,1696090682246890,018b05dd-2983-7809-a2d1-95b3f1776eb3
185,124111,560,seed_data,seed_data,1696090682246908,1696090682246908,018b05dd-2983-7809-a2d1-95b3f1776eb3
186,124112,560,seed_data,seed_data,1696090682246943,1696090682246943,018b05dd-2983-7809-a2d1-95b3f1776eb3
187,124113,560,seed_data,seed_data,1696090682246977,1696090682246977,018b05dd-2983-7809-a2d1-95b3f1776eb3
188,124141,284,seed_data,seed_data,1696090682247012,1696090682247012,018b05dd-2983-7809-a2d1-95b3f1776eb3
189,124142,284,seed_data,seed_data,1696090682247030,1696090682247030,018b05dd-2983-7809-a2d1-95b3f1776eb3
190,124146,284,seed_data,seed_data,1696090682247049,1696090682247049,018b05dd-2983-7809-a2d1-95b3f1776eb3
191,124201,284,seed_data,seed_data,1696090682247067,1696090682247067,018b05dd-2983-7809-a2d1-95b3f1776eb3
192,124202,284,seed_data,seed_data,1696090682247086,1696090682247086,018b05dd-2983-7809-a2d1-95b3f1776eb3
193,124303,560,seed_data,seed_data,1696090682247104,1696090682247104,018b05dd-2983-7809-a2d1-95b3f1776eb3
194,124401,560,seed_data,seed_data,1696090682247139,1696090682247139,018b05dd-2983-7809-a2d1-95b3f1776eb3
195,124404,560,seed_data,seed_data,1696090682247173,1696090682247173,018b05dd-2983-7809-a2d1-95b3f1776eb3
196,124406,560,seed_data,seed_data,1696090682247209,1696090682247209,018b05dd-2983-7809-a2d1-95b3f1776eb3
197,124411,560,seed_data,seed_data,1696090682247243,1696090682247243,018b05dd-2983-7809-a2d1-95b3f1776eb3
198,124412,560,seed_data,seed_data,1696090682247278,1696090682247278,018b05dd-2983-7809-a2d1-95b3f1776eb3
199,124501,560,seed_data,seed_data,1696090682247312,1696090682247312,018b05dd-2983-7809-a2d1-95b3f1776eb3
200,124504,284,seed_data,seed_data,1696090682247346,1696090682247346,018b05dd-2983-7809-a2d1-95b3f1776eb3
201,124505,284,seed_data,seed_data,1696090682247365,1696090682247365,018b05dd-2983-7809-a2d1-95b3f1776eb3
202,124506,284,seed_data,seed_data,1696090682247389,1696090682247389,018b05dd-2983-7809-a2d1-95b3f1776eb3
203,124507,284,seed_data,seed_data,1696090682247408,1696090682247408,018b05dd-2983-7809-a2d1-95b3f1776eb3
204,124508,284,seed_data,seed_data,1696090682247426,1696090682247426,018b05dd-2983-7809-a2d1-95b3f1776eb3
205,124513,560,seed_data,seed_data,1696090682247445,1696090682247445,018b05dd-2983-7809-a2d1-95b3f1776eb3
206,124514,560,seed_data,seed_data,1696090682247479,1696090682247479,018b05dd-2983-7809-a2d1-95b3f1776eb3
207,125001,249,seed_data,seed_data,1696090682247514,1696090682247514,018b05dd-2983-7809-a2d1-95b3f1776eb3
208,125004,249,seed_data,seed_data,1696090682247530,1696090682247530,018b05dd-2983-7809-a2d1-95b3f1776eb3
209,125005,249,seed_data,seed_data,1696090682247546,1696090682247546,018b05dd-2983-7809-a2d1-95b3f1776eb3
210,125006,249,seed_data,seed_data,1696090682247562,1696090682247562,018b05dd-2983-7809-a2d1-95b3f1776eb3
211,125007,249,seed_data,seed_data,1696090682247577,1696090682247577,018b05dd-2983-7809-a2d1-95b3f1776eb3
212,125011,249,seed_data,seed_data,1696090682247593,1696090682247593,018b05dd-2983-7809-a2d1-95b3f1776eb3
213,125033,249,seed_data,seed_data,1696090682247609,1696090682247609,018b05dd-2983-7809-a2d1-95b3f1776eb3
214,125037,249,seed_data,seed_data,1696090682247625,1696090682247625,018b05dd-2983-7809-a2d1-95b3f1776eb3
215,125038,249,seed_data,seed_data,1696090682247641,1696090682247641,018b05dd-2983-7809-a2d1-95b3f1776eb3
216,125039,249,seed_data,seed_data,1696090682247656,1696090682247656,018b05dd-2983-7809-a2d1-95b3f1776eb3
217,125042,249,seed_data,seed_data,1696090682247674,1696090682247674,018b05dd-2983-7809-a2d1-95b3f1776eb3
218,125044,249,seed_data,seed_data,1696090682247690,1696090682247690,018b05dd-2983-7809-a2d1-95b3f1776eb3
219,125047,249,seed_data,seed_data,1696090682247706,1696090682247706,018b05dd-2983-7809-a2d1-95b3f1776eb3
220,125048,201,seed_data,seed_data,1696090682247721,1696090682247721,018b05dd-2983-7809-a2d1-95b3f1776eb3
221,125049,249,seed_data,seed_data,1696090682247736,1696090682247736,018b05dd-2983-7809-a2d1-95b3f1776eb3
222,125050,201,seed_data,seed_data,1696090682247752,1696090682247752,018b05dd-2983-7809-a2d1-95b3f1776eb3
223,125051,201,seed_data,seed_data,1696090682247765,1696090682247765,018b05dd-2983-7809-a2d1-95b3f1776eb3
224,125052,249,seed_data,seed_data,1696090682247778,1696090682247778,018b05dd-2983-7809-a2d1-95b3f1776eb3
225,125053,201,seed_data,seed_data,1696090682247794,1696090682247794,018b05dd-2983-7809-a2d1-95b3f1776eb3
226,125054,616,seed_data,seed_data,1696090682247807,1696090682247807,018b05dd-2983-7809-a2d1-95b3f1776eb3
227,125055,616,seed_data,seed_data,1696090682247844,1696090682247844,018b05dd-2983-7809-a2d1-95b3f1776eb3
228,125056,616,seed_data,seed_data,1696090682247880,1696090682247880,018b05dd-2983-7809-a2d1-95b3f1776eb3
229,125058,616,seed_data,seed_data,1696090682247916,1696090682247916,018b05dd-2983-7809-a2d1-95b3f1776eb3
230,125060,616,seed_data,seed_data,1696090682247952,1696090682247952,018b05dd-2983-7809-a2d1-95b3f1776eb3
231,125075,616,seed_data,seed_data,1696090682247989,1696090682247989,018b05dd-2983-7809-a2d1-95b3f1776eb3
232,125076,616,seed_data,seed_data,1696090682248025,1696090682248025,018b05dd-2983-7809-a2d1-95b3f1776eb3
233,125077,616,seed_data,seed_data,1696090682248061,1696090682248061,018b05dd-2983-7809-a2d1-95b3f1776eb3
234,125078,616,seed_data,seed_data,1696090682248096,1696090682248096,018b05dd-2983-7809-a2d1-95b3f1776eb3
235,125101,616,seed_data,seed_data,1696090682248137,1696090682248137,018b05dd-2983-7809-a2d1-95b3f1776eb3
236,125102,616,seed_data,seed_data,1696090682248174,1696090682248174,018b05dd-2983-7809-a2d1-95b3f1776eb3
237,125103,616,seed_data,seed_data,1696090682248211,1696090682248211,018b05dd-2983-7809-a2d1-95b3f1776eb3
